*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:17

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0147 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 227     7   146      0      0      0     1    43   125  0.434  0.495  0.491  0.346  0.378  0.415  0.408  0.395  0.000  0.000
 1991 228     8   145      0      0      0     1    43   125  0.430  0.487  0.488  0.348  0.379  0.415  0.408  0.395  0.000  0.000
 1991 229     9   144      0      0      0     1    43   125  0.426  0.480  0.486  0.350  0.379  0.415  0.408  0.395  0.000  0.000
 1991 230    10   143      0      0      0     1    43   125  0.423  0.475  0.484  0.352  0.379  0.414  0.408  0.395  0.000  0.000
 1991 231    11   142      0      0      0     1    43   125  0.419  0.471  0.481  0.354  0.380  0.414  0.407  0.395  0.000  0.000
 1991 232    12   141      0      0      0     1    43   125  0.416  0.467  0.479  0.356  0.380  0.414  0.407  0.395  0.000  0.000
 1991 233    13   141      0      0      0     1    43   125  0.413  0.463  0.477  0.357  0.381  0.413  0.407  0.395  0.000  0.000
 1991 234    14   140      0      0      0     1    43   125  0.410  0.460  0.475  0.359  0.381  0.413  0.407  0.395  0.000  0.000
 1991 235    15   139      0      0      0     1    43   125  0.407  0.457  0.473  0.360  0.381  0.413  0.407  0.395  0.000  0.000
 1991 236    16   139      0      0      0     1    43   125  0.404  0.454  0.471  0.361  0.382  0.412  0.407  0.395  0.000  0.000
 1991 237    17   138      0      0      0     1    43   125  0.401  0.451  0.469  0.362  0.382  0.412  0.407  0.395  0.000  0.000
 1991 238    18   138      0      0      0     1    43   125  0.398  0.449  0.467  0.363  0.382  0.412  0.407  0.395  0.000  0.000
 1991 239    19   139      0      0      2     1    43   125  0.424  0.446  0.466  0.364  0.383  0.411  0.407  0.395  0.000  0.000
 1991 240    20   138      0      0      2     1    43   125  0.417  0.445  0.464  0.365  0.383  0.411  0.407  0.395  0.000  0.000
 1991 241    21   137      0      0      2     1    43   125  0.411  0.444  0.463  0.366  0.383  0.411  0.407  0.395  0.000  0.000
