*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2001 040   168    1.0   13.3   14.3   22.6   45.2   0.26   32.4   20.0   26.2   28.4   20.0   26.2   28.4   86.4    330
 2001 041   169    1.5   13.3   14.3   10.5   21.0   0.65   31.3   21.6   26.4   28.2   21.6   26.4   28.2   86.4    330
 2001 042   170    7.5   13.2   14.3   20.1   40.2   0.33   33.3   21.3   27.3   29.4   21.3   27.3   29.4   86.4    330

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   2        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2001 238     0   16.0   11.2   12.1   11.2   22.4   0.45   28.3   14.3   20.8   23.5   14.3   20.8   23.5   86.4    330
 2001 239     1    0.0   11.2   12.1   12.8   25.6   0.37   20.4    6.5   13.0   15.7    6.5   13.0   15.7   86.4    330
 2001 240     2    0.0   11.2   12.1   14.1   28.2   0.31   16.0    4.8   10.0   12.2    4.8   10.0   12.2   86.4    330
 2001 241     3    0.0   11.3   12.2   18.3   36.6   0.12   23.2    8.3   15.3   18.1    8.3   15.3   18.1   86.4    330
 2001 242     4    4.0   11.3   12.2   16.6   33.2   0.21   25.4   13.3   19.0   21.3   13.3   19.0   21.3   86.4    330
 2001 243     5   25.0   11.3   12.2    6.4   12.8   0.70   22.0   17.4   19.6   20.4   17.4   19.6   20.4   86.4    330
 2001 244     6   80.0   11.4   12.3    5.5   11.0   0.74   19.0   16.3   17.6   18.1   16.3   17.6   18.1   86.4    330
 2001 245     7   17.0   11.4   12.3    5.5   11.0   0.74   16.3   13.5   14.8   15.4   13.5   14.8   15.4   86.4    330
 2001 246     8    2.0   11.4   12.3    5.6   11.2   0.74   15.2   13.2   14.1   14.5   13.2   14.1   14.5   86.4    330
 2001 247     9    0.0   11.4   12.4    5.6   11.2   0.74   13.6   10.0   11.7   12.4   10.0   11.7   12.4   86.4    330
 2001 248    10    0.0   11.5   12.4    9.1   18.2   0.59   16.0    9.2   12.4   13.7    9.2   12.4   13.7   86.4    330
 2001 249    11    1.6   11.5   12.4    8.4   16.8   0.62   18.1   10.6   14.1   15.6   10.6   14.1   15.6   86.4    330
